"crossing","week","total_bikes"
"Elliot Bay Trail",31,7753
"Elliot Bay Trail",32,10832
"Elliot Bay Trail",33,11915
"Elliot Bay Trail",34,9675
"Elliot Bay Trail",35,9538
"Elliot Bay Trail",36,7674
"Elliot Bay Trail",37,10854
"Elliot Bay Trail",38,8795
"Elliot Bay Trail",39,9343
"Elliot Bay Trail",40,7394
"Elliot Bay Trail",41,5996
"Elliot Bay Trail",42,4434
"Elliot Bay Trail",43,6003
"Elliot Bay Trail",44,5503
"Elliot Bay Trail",45,6862
"Elliot Bay Trail",46,5346
"Elliot Bay Trail",47,3720
"Elliot Bay Trail",48,4410
"Elliot Bay Trail",49,3578
"Elliot Bay Trail",50,3215
"Elliot Bay Trail",51,3251
"Elliot Bay Trail",52,2028
"Elliot Bay Trail",53,585
"NW 58th St Greenway at 22nd Ave",1,498
"NW 58th St Greenway at 22nd Ave",2,584
"NW 58th St Greenway at 22nd Ave",3,510
"NW 58th St Greenway at 22nd Ave",4,643
"NW 58th St Greenway at 22nd Ave",5,654
"NW 58th St Greenway at 22nd Ave",6,742
"NW 58th St Greenway at 22nd Ave",7,512
"NW 58th St Greenway at 22nd Ave",8,683
"NW 58th St Greenway at 22nd Ave",9,638
"NW 58th St Greenway at 22nd Ave",10,578
"NW 58th St Greenway at 22nd Ave",11,621
"NW 58th St Greenway at 22nd Ave",12,617
"NW 58th St Greenway at 22nd Ave",13,1051
"NW 58th St Greenway at 22nd Ave",14,1206
"NW 58th St Greenway at 22nd Ave",15,1018
"NW 58th St Greenway at 22nd Ave",16,1432
"NW 58th St Greenway at 22nd Ave",17,903
"NW 58th St Greenway at 22nd Ave",18,1363
"NW 58th St Greenway at 22nd Ave",19,1402
"NW 58th St Greenway at 22nd Ave",20,1093
"NW 58th St Greenway at 22nd Ave",21,1117
"NW 58th St Greenway at 22nd Ave",22,1053
"NW 58th St Greenway at 22nd Ave",23,1426
"NW 58th St Greenway at 22nd Ave",24,1175
"NW 58th St Greenway at 22nd Ave",25,1076
"NW 58th St Greenway at 22nd Ave",26,1431
"NW 58th St Greenway at 22nd Ave",27,1298
"NW 58th St Greenway at 22nd Ave",28,1684
"NW 58th St Greenway at 22nd Ave",29,274
"NW 58th St Greenway at 22nd Ave",30,1
"NW 58th St Greenway at 22nd Ave",31,14
"NW 58th St Greenway at 22nd Ave",32,5
"NW 58th St Greenway at 22nd Ave",33,3
"NW 58th St Greenway at 22nd Ave",34,1
"NW 58th St Greenway at 22nd Ave",35,0
"NW 58th St Greenway at 22nd Ave",36,0
"NW 58th St Greenway at 22nd Ave",37,2903
"NW 58th St Greenway at 22nd Ave",38,1078
"NW 58th St Greenway at 22nd Ave",39,1100
"NW 58th St Greenway at 22nd Ave",40,1103
"NW 58th St Greenway at 22nd Ave",41,921
"NW 58th St Greenway at 22nd Ave",42,764
"NW 58th St Greenway at 22nd Ave",43,833
"NW 58th St Greenway at 22nd Ave",44,777
"NW 58th St Greenway at 22nd Ave",45,994
"NW 58th St Greenway at 22nd Ave",46,850
"NW 58th St Greenway at 22nd Ave",47,652
"NW 58th St Greenway at 22nd Ave",48,688
"NW 58th St Greenway at 22nd Ave",49,549
"NW 58th St Greenway at 22nd Ave",50,545
"NW 58th St Greenway at 22nd Ave",51,612
"NW 58th St Greenway at 22nd Ave",52,270
"NW 58th St Greenway at 22nd Ave",53,111
