id,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price,miles1K
5615,550,unsp,Used,f,50269,2011,Gray,5.5 L,Gasoline,GA,SoA,Premium,Alloy,unsp,45,44499,50.269
5616,550,unsp,CPO,f,28321,2011,Silver,5.5 L,Gasoline,IL,ENC,Premium,Alloy,unsp,74,53998,28.321
6134,550,unsp,Used,f,38276,2011,Black,5.5 L,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,67,54988,38.276
6140,550,unsp,Used,t,43907,2011,Black,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,57,48800,43.907
6142,550,unsp,CPO,t,36018,2011,Black,5.5 L,Gasoline,SC,SoA,Premium,Alloy,unsp,73,50800,36.018
6145,550,unsp,Used,f,20792,2011,Silver,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,59995,20.792
6147,550,unsp,CPO,t,49665,2011,Gray,5.5 L,Gasoline,CA,Pac,Premium,Alloy,unsp,83,43986,49.665
6148,550,unsp,CPO,f,14277,2011,White,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,1,59888,14.277
6155,550,unsp,CPO,t,36205,2011,White,5.5 L,Gasoline,FL,SoA,Premium,Alloy,unsp,73,55991,36.205
6159,550,unsp,CPO,f,30337,2011,White,5.5 L,Gasoline,SC,SoA,Premium,Alloy,unsp,74,47877,30.337
6160,550,unsp,CPO,f,49281,2011,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,unsp,unsp,7,44981,49.281
6197,63 AMG,unsp,Used,f,20267,2011,Black,5.5 L,Gasoline,VA,SoA,unsp,unsp,unsp,5,71995,20.267
6201,63 AMG,unsp,Used,f,37723,2011,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,72941,37.723
6241,550,unsp,Used,f,31019,2011,Black,5.5 L,Gasoline,NJ,Mid,unsp,unsp,unsp,8,50000,31.019
6244,550,unsp,Used,f,22692,2011,Black,5.5 L,Gasoline,MA,New,unsp,unsp,unsp,3,46999,22.692
6250,550,unsp,Used,t,55927,2011,Black,5.5 L,Gasoline,NJ,Mid,Harman Kardon,unsp,unsp,103,37952,55.927
6251,550,unsp,Used,f,21817,2011,unsp,5.5 L,Gasoline,MI,ENC,unsp,unsp,unsp,73,49981,21.817
6254,550,unsp,Used,t,23314,2011,Black,5.5 L,Gasoline,NY,Mid,unsp,unsp,unsp,16,40995,23.314
6256,550,unsp,Used,f,51756,2011,Black,5.5 L,Gasoline,GA,SoA,Premium,Alloy,unsp,42,42988,51.756
6258,550,unsp,CPO,f,27400,2011,White,5.5 L,Gasoline,KS,WNC,Premium,Alloy,unsp,74,54900,27.4
6261,550,unsp,Used,t,37575,2011,Black,5.5 L,Gasoline,NY,Mid,Premium,Alloy,unsp,67,49995,37.575
6262,550,unsp,Used,f,36958,2011,Gray,5.5 L,Gasoline,NJ,Mid,Harman Kardon,Alloy,unsp,53,35995,36.958
6263,550,unsp,Used,t,16393,2011,Black,5.5 L,Gasoline,NC,SoA,unsp,unsp,unsp,20,54000,16.393
6265,550,unsp,Used,t,31574,2011,Black,5.5 L,Gasoline,TX,WSC,Premium,Alloy,unsp,54,49995,31.574
6266,550,unsp,CPO,f,45438,2011,Black,5.5 L,Gasoline,CT,New,Harman Kardon,Alloy,unsp,76,49800,45.438
6755,550,unsp,Used,f,77306,2011,Black,5.5 L,Gasoline,GA,SoA,Premium,Premium,unsp,49,35994,77.306
6758,550,unsp,Used,t,30710,2011,Black,5.5 L,Gasoline,CA,Pac,Premium,Alloy,unsp,11,46500,30.71
6764,550,unsp,CPO,f,42037,2011,Gray,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,33,45888,42.037
6773,550,unsp,Used,t,22874,2011,Silver,5.5 L,Gasoline,FL,SoA,Premium,Alloy,unsp,84,59899,22.874
6777,550,unsp,CPO,f,46315,2011,unsp,5.5 L,Gasoline,AL,ESC,Premium,Alloy,unsp,70,46489,46.315
6779,550,unsp,Used,t,34019,2011,Gray,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,71,53662,34.019
6783,550,unsp,CPO,f,47509,2011,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,Premium,unsp,30,52961,47.509
6784,550,unsp,Used,t,41493,2011,Black,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,42900,41.493
6785,550,unsp,Used,f,40664,2011,Silver,5.5 L,Gasoline,TX,WSC,unsp,unsp,unsp,1,49950,40.664
6789,550,unsp,CPO,f,34913,2011,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,15,59770,34.913
6790,550,unsp,Used,t,15850,2011,Black,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,80,49998,15.85
6792,550,unsp,CPO,f,48284,2011,Black,5.5 L,Gasoline,VA,SoA,unsp,unsp,unsp,39,47231,48.284
6840,63 AMG,unsp,Used,f,15621,2011,Gray,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,62,73995,15.621
6885,550,unsp,Used,f,12821,2011,Black,5.5 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,82,48800,12.821
6886,550,unsp,CPO,t,28392,2011,Black,5.5 L,Gasoline,NC,SoA,unsp,unsp,unsp,3,56952,28.392
