"item","ped","IPA"
"CRABBIES SPICED ORANGE              ",-0.74,FALSE
"ODIN THORS EQUINOX 22               ",-1.33,FALSE
"HUB SEASONAL 22                     ",-1.29,FALSE
"BUD LT 12PK CAN                     ",-1.29,FALSE
"10 BARREL SEASONAL 22               ",-0.54,FALSE
"10 BARREL APOCALYPSE IPA 22         ",-1.81,TRUE
"10 BARREL APOCALYPSE IPA 6PK        ",-2.28,TRUE
"10 BARREL JOE IPA 6 PK              ",-1.84,TRUE
"10 BARREL BREWING PRAY FOR SNOW WINT",-0.47,FALSE
"RAMBLING ROUTE CIDER 4PK            ",-0.52,FALSE
"RAMBLING ROUTE PEAR CIDER 4PK CAN   ",-0.47,FALSE
"FT GEORGE VORTEX IPA 4PK CAN        ",-2.86,TRUE
"BELLEVUE BREWING 425 PALE           ",-1.29,FALSE
"DOUBLE MTN VAPORIZER                ",-1.15,FALSE
"BUD LIGHT 24PK                      ",-0.82,FALSE
"2 TOWNS CRISP APPLE CIDER           ",-0.41,FALSE
"2 TOWNS BAD APPLE CIDER             ",-0.36,FALSE
"2 TOWNS CIDER GINJANINJA 6PK        ",-1.02,FALSE
"ECLIPTIC ORBITER IPA 22             ",-2.36,TRUE
"BLACK RAVEN TRICKSTER IPA 22        ",-2.38,TRUE
"BLACK RAVEN ROTATING IPA            ",-2.69,TRUE
"BLACK RAVEN TRICKSTER 6 PK CAN      ",-1.28,FALSE
"FREEMONT UNIVERSAL PALE             ",-1.63,FALSE
"FREMONT INTERURBAN IPA 22           ",-2.56,TRUE
"FREMONT UNIVERSAL PALE 6PK CAN      ",-1.88,FALSE
"BUD LT 18PK CAN                     ",-1.26,FALSE
"FREMONT IPA 6PK CAN                 ",-3.31,TRUE
"FREMONT SEASONAL 6PK CAN            ",-1.67,FALSE
"SCUTTLEBUTT IPA 6PK                 ",-3.22,TRUE
"SCUTTLEBUTT SEASONAL 6PK BTL        ",-1.8,FALSE
"REUBENS ROBUST PORTER 22            ",-1.15,FALSE
"REUBENS CRIKEY IPA 22               ",-2.42,TRUE
"REUBENS GOSE 4PK CAN                ",-1.09,FALSE
"REUBENS SEASONAL 6 PK CAN           ",-1.01,FALSE
"TWO BEERS EVO IPA 6PK CAN           ",-3.62,TRUE
"TWO BEERS IMMERSION AMBER CANS      ",-1.38,FALSE
"BUD LIGHT 18-12 BTL                 ",-1.33,FALSE
"AMERICAN BLONDE                     ",-1.27,FALSE
"AMERICAN BREWING IPA 22             ",-2.84,TRUE
"AMERICAN CABOOSE STOUT 22           ",-1.04,FALSE
"AMERICAN FLYING MNKY PALE           ",-2.24,FALSE
"IRON HORSE IRISH DEATH              ",-1.28,FALSE
"IRON HORSE IRISH DEATH 6 PK CAN     ",-1.19,FALSE
"BALEBREAKER FIELD 41 6PK CAN        ",-2.2,FALSE
"BALEBREAKER TOPCUTTER IPA           ",-2.37,TRUE
"HOP VALLEY ALPHACENTARI 22          ",-1.53,FALSE
"HOP VALLEY SEASONAL 6PK CAN         ",-1.46,FALSE
"BUSCH LT 18/16OZ CANS               ",-1.25,FALSE
"HOP VALLEY CITRUS MISTRESS 6PK      ",-2.24,FALSE
"HOP VALLEY SEASONAL 22              ",-1.11,FALSE
"HOP VALLEY CITRUS MISTRESS 22       ",-1.1,FALSE
"ORLISON HAVANUTHER PILSNER 4PK      ",-1.38,FALSE
