"","return"
"2007-08-23",-0.0108671949286846
"2007-08-24",0.0322729563384108
"2007-08-27",-0.022542586177603
"2007-08-28",-0.0410584826349177
"2007-08-29",0.0572463297747152
"2007-08-30",0.0161843689902477
"2007-08-31",0.0163670032763599
"2007-09-04",0.0410167268062811
"2007-09-05",-0.0513317190342716
"2007-09-06",-0.0127961384734637
"2007-09-07",-0.0239983690690546
"2007-09-10",0.0374896596332697
"2007-09-11",-0.00892391193036346
"2007-09-12",0.0100375516979065
"2007-09-13",0.0025575447570334
"2007-09-14",0.0117346938775509
"2007-09-17",-0.00288169440242037
"2007-09-18",0.0181345577998442
"2007-09-19",-0.00106440536657404
"2007-09-20",-0.0032678269517652
"2007-09-21",0.0273680017704798
"2007-09-24",0.0286507126549129
"2007-09-25",0.0330455912082865
