"Subject","Session","Trial","FarAway","Littered","PictureTarget.RT","Side"
20,2,5,0,0,489,"right"
20,2,6,0,0,486,"left"
20,2,7,0,0,393,"right"
20,2,8,0,0,414,"right"
20,2,9,0,0,389,"left"
20,2,10,0,0,441,"left"
20,3,1,0,0,432,"right"
20,3,2,0,0,370,"left"
20,3,3,0,0,362,"right"
20,3,4,0,0,424,"left"
20,3,5,0,0,409,"left"
20,3,6,0,0,383,"right"
20,3,7,0,0,386,"right"
20,3,8,0,0,514,"right"
20,3,9,0,0,411,"left"
20,3,10,0,0,387,"left"
20,4,1,0,0,449,"right"
20,4,2,0,0,400,"left"
20,4,3,0,0,399,"left"
20,4,4,0,0,380,"right"
20,4,5,0,0,395,"right"
20,4,6,0,0,392,"right"
20,4,7,0,0,402,"right"
20,4,8,0,0,449,"left"
20,4,9,0,0,379,"left"
20,4,10,0,0,369,"left"
22,1,1,0,0,774,"right"
22,1,2,0,0,669,"right"
22,1,3,0,0,844,"right"
22,1,4,0,0,1194,"right"
22,1,5,0,0,658,"right"
22,1,6,0,0,902,"left"
22,1,7,0,0,586,"left"
22,1,8,0,0,655,"left"
22,1,9,0,0,509,"left"
22,1,10,0,0,479,"left"
22,2,1,0,0,572,"left"
22,2,2,0,0,441,"right"
22,2,3,0,0,528,"left"
22,2,4,0,0,488,"right"
22,2,5,0,0,543,"left"
22,2,6,0,0,378,"right"
22,2,7,0,0,612,"right"
22,2,8,0,0,410,"left"
22,2,9,0,0,759,"left"
22,2,10,0,0,434,"right"
22,3,1,0,0,564,"left"
22,3,2,0,0,426,"right"
22,3,3,0,0,511,"right"
22,3,4,0,0,474,"right"
22,3,5,0,0,623,"left"
22,3,6,0,0,438,"left"
22,3,7,0,0,424,"left"
22,3,8,0,0,495,"right"
22,3,9,0,0,553,"right"
22,3,10,0,0,452,"left"
22,4,1,0,0,561,"right"
22,4,2,0,0,413,"right"
22,4,3,0,0,415,"right"
22,4,4,0,0,440,"right"
22,4,5,0,0,546,"left"
22,4,6,0,0,472,"left"
22,4,7,0,0,410,"left"
22,4,8,0,0,413,"right"
22,4,9,0,0,417,"left"
22,4,10,0,0,594,"left"
