Year,Month,Day,Temp
2007,8,13,84.7
2007,8,14,82.4
2007,8,15,77.9
2007,8,16,73.5
2007,8,17,77.2
2007,8,18,71
2007,8,19,69.5
2007,8,20,70.9
2007,8,21,69.2
2007,8,22,70.4
2007,8,23,62.9
2007,8,24,57.9
2007,8,25,60.4
2007,8,26,72.9
2007,8,27,70.6
2007,8,29,60.1
2007,8,30,69.5
2007,8,31,74.2
2007,9,1,80.8
2007,9,2,76.6
2007,9,3,81.4
2007,9,4,75.7
2007,9,5,77.9
2007,9,6,66.1
2007,9,7,64.1
2007,9,8,58.5
2007,9,9,47.2
2007,9,10,48.3
2007,9,11,59.4
2007,9,12,64.3
2007,9,13,59.2
2007,9,14,46.8
2007,9,15,60.9
2007,9,16,68
2007,9,17,71
2007,9,18,62.2
2007,9,19,57
2007,9,20,70.6
2007,9,21,63.8
2007,9,22,66.7
2007,9,23,74.6
2007,9,24,55.4
2007,9,25,49.2
2007,9,26,57.1
2007,9,27,57.5
2007,9,28,62.4
2007,9,29,69.3
2007,9,30,59.2
2007,10,1,59.9
2007,10,2,64.4
2007,10,3,58.1
2007,10,4,60
2007,10,5,55.7
2007,10,6,57.3
2007,10,7,47.1
2007,10,8,49.1
2007,10,9,56.3
2007,10,10,48
2007,10,11,52.6
2007,10,12,51.8
2007,10,13,52
2007,10,14,45.4
2007,10,15,44.2
2007,10,16,43.3
2007,10,17,43.8
2007,10,18,47.5
2007,10,19,47.5
2007,10,20,51.9
2007,10,21,45.2
2007,10,22,41.4
2007,10,23,57.3
2007,10,24,55.6
2007,10,25,62.5
2007,10,26,47.1
2007,10,27,38.9
2007,10,28,43.9
2007,10,29,52.6
2007,10,30,54.1
2007,10,31,41.4
2007,11,1,43.2
2007,11,2,43.4
2007,11,3,41.8
2007,11,4,49
2007,11,5,41.9
2007,11,6,29.7
2007,11,7,43.3
2007,11,8,52.9
2007,11,9,49.5
2007,11,10,50.5
2007,11,11,53.2
2007,11,12,44.1
2007,11,13,55.6
2007,11,14,40.7
2007,11,15,30.6
2007,11,16,48.3
2007,11,17,49.6
2007,11,18,45.7
2007,11,19,43.8
2007,11,20,33
2007,11,21,25.8
2007,11,22,21.3
2007,11,23,22.8
2007,11,24,27.3
2007,11,25,35.8
2007,11,26,34.6
2007,11,27,21.5
2007,11,28,28.7
2007,11,29,24.9
2007,11,30,16.6
2007,12,1,20.6
2007,12,2,12.3
2007,12,3,30.3
2007,12,4,48.4
2007,12,5,27.2
2007,12,6,26.4
2007,12,7,20.8
2007,12,8,16.3
2007,12,9,14.8
2007,12,10,16.7
2007,12,11,23.4
2007,12,12,11
2007,12,13,27.5
2007,12,14,24.3
2007,12,15,17.6
2007,12,16,23.7
2007,12,17,22.2
2007,12,18,30.3
2007,12,19,30.8
2007,12,20,31.7
2007,12,21,35
2007,12,22,18.2
2007,12,23,20.8
2007,12,24,25.2
2007,12,25,33.6
2007,12,26,19
2007,12,27,16.8
2007,12,28,15.9
2007,12,29,18.4
2007,12,30,20.5
2007,12,31,25
2008,1,1,19.2
2008,1,2,13.9
2008,1,3,31.2
2008,1,4,37.3
2008,1,5,44.7
2008,1,6,38.7
2008,1,7,32.6
2008,1,8,24.6
2008,1,9,27.8
2008,1,10,29.6
2008,1,11,34.4
2008,1,12,28.8
2008,1,13,30.2
2008,1,14,32.1
2008,1,15,31
2008,1,16,19.7
2008,1,17,13.3
2008,1,18,15.4
2008,1,19,0.5
2008,1,20,8.8
2008,1,21,4
2008,1,22,-0.7
2008,1,23,15.4
2008,1,24,3.3
2008,1,25,18.3
2008,1,26,27.3
2008,1,27,37.3
2008,1,28,42.2
2008,1,29,1.3
2008,1,30,4.4
2008,1,31,15.8
2008,2,1,30.1
2008,2,2,27.7
2008,2,3,25.5
2008,2,4,26.4
2008,2,5,11.4
2008,2,6,16.7
2008,2,7,24.2
2008,2,8,32.4
2008,2,9,18.3
2008,2,10,0.7
2008,2,11,17
2008,2,13,32.1
2008,2,14,20.1
